Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
108,Exit long,2026-02-03 09:55,sl1|exit_reason=trail|mfe_r=1.944188,270.33,52,14027.52,29.64,0.21,0,94.64,0.67,-17.68,-0.13,-1560.8,-6.24,2
108,Entry long,2026-02-03 09:45,sl1|setup=vwap_reclaim|side=long|grade=B|size=half|score=4|window=open|tier=neutral|rvol=0.775389|rs_vs_spy=0.193219|gap_atr=-0.121807|ext_atr=0.11011|risk_atr=0.16011,269.76,52,14027.52,29.64,0.21,0,94.64,0.67,-17.68,-0.13,-1560.8,-6.24,2
109,Exit long,2026-02-04 09:55,sl1|exit_reason=trail|mfe_r=3.048113,277.46,94,25906.4,174.84,0.67,0,301.74,1.16,-50.76,-0.20,-1385.96,-5.54,4
109,Entry long,2026-02-04 09:35,sl1|setup=orb_break|side=long|grade=A|size=full|score=5|window=open|tier=neutral|rvol=2.165703|rs_vs_spy=1.173287|gap_atr=0.485894|ext_atr=0.163307|risk_atr=0.182909,275.6,94,25906.4,174.84,0.67,0,301.74,1.16,-50.76,-0.20,-1385.96,-5.54,4
110,Exit long,2026-02-04 10:35,sl1|exit_reason=stop|mfe_r=0,275.78,107,29563.03,-54.57,-0.18,0,28.89,0.10,-54.57,-0.18,-1440.53,-5.76,1
110,Entry long,2026-02-04 10:30,sl1|setup=vwap_reclaim|side=long|grade=A|size=half|score=5|window=midday|tier=neutral|rvol=2.07211|rs_vs_spy=1.762769|gap_atr=0.485894|ext_atr=0.018605|risk_atr=0.08,276.29,107,29563.03,-54.57,-0.18,0,28.89,0.10,-54.57,-0.18,-1440.53,-5.76,1
111,Exit long,2026-02-04 15:30,sl1|exit_reason=trail|mfe_r=3.127114,277.43,158,43628.54,205.4,0.47,0,308.1,0.71,-20.54,-0.05,-1235.13,-4.94,3
111,Entry long,2026-02-04 15:15,sl1|setup=vwap_reclaim|side=long|grade=A|size=full|score=5|window=power|tier=neutral|rvol=1.847388|rs_vs_spy=1.831476|gap_atr=0.485894|ext_atr=0.058739|risk_atr=0.108739,276.13,158,43628.54,205.4,0.47,0,308.1,0.71,-20.54,-0.05,-1235.13,-4.94,3
112,Exit short,2026-02-05 09:50,sl1|exit_reason=stop|mfe_r=0.151719,276.01,21,5745.39,-50.82,-0.88,0,7.14,0.12,-50.82,-0.88,-1285.95,-5.14,2
112,Entry short,2026-02-05 09:40,sl1|setup=orb_retest|side=short|grade=B|size=half|score=3|window=open|tier=neutral|rvol=0.958856|rs_vs_spy=-1.915314|gap_atr=0.287316|ext_atr=0.36939|risk_atr=0.391807,273.59,21,5745.39,-50.82,-0.88,0,7.14,0.12,-50.82,-0.88,-1285.95,-5.14,2
