Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
292,Entry long,2026-07-14 11:10,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1784041740000:long|bars_to_confirm=1|signal_close=972.86|trigger=970.9998|stop=968.84|target_r=1.5|risk_ps=4.02|atr=2.828515|vwap_dist_atr=0.901886|tick=0.01,972.75,24,23346,140.88,0.60,0,140.88,0.60,-27.84,-0.12,2469.73,2.47,10
293,Exit short,2026-07-15 14:15,sl1|exit_reason=target,905.95,35,31872.4,164.15,0.52,0,164.15,0.52,-19.95,-0.06,2633.88,2.63,1
293,Entry short,2026-07-15 14:14,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1784139180000:short|bars_to_confirm=1|signal_close=910.968|trigger=911.19005|stop=913.77|target_r=1.5|risk_ps=2.802|atr=2.436556|vwap_dist_atr=0.485005|tick=0.01,910.64,35,31872.4,164.15,0.52,0,164.15,0.52,-19.95,-0.06,2633.88,2.63,1
294,Exit long,2026-07-15 14:35,sl1|exit_reason=stop,910.56,28,25592,-96.32,-0.38,0,42,0.16,-96.32,-0.38,2537.56,2.54,11
294,Entry long,2026-07-15 14:24,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1784139720000:long|bars_to_confirm=2|signal_close=914.02|trigger=912.73|stop=910.57|target_r=1.5|risk_ps=3.45|atr=2.395327|vwap_dist_atr=0.812955|tick=0.01,914,28,25592,-96.32,-0.38,0,42,0.16,-96.32,-0.38,2537.56,2.54,11
295,Exit short,2026-07-16 09:48,sl1|exit_reason=target,854.1,8,6971.6,138.8,1.99,0,138.8,1.99,-54.64,-0.78,2676.36,2.68,8
295,Entry short,2026-07-16 09:40,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1784209140000:short|bars_to_confirm=1|signal_close=871.5892|trigger=872|stop=883.02|target_r=1.5|risk_ps=11.4308|atr=5.649223|vwap_dist_atr=0.938904|tick=0.01,871.45,8,6971.6,138.8,1.99,0,138.8,1.99,-54.64,-0.78,2676.36,2.68,8
296,Exit long,2026-07-16 10:24,sl1|exit_reason=time,868.69,12,10470.36,-46.08,-0.44,0,88.44,0.84,-76.8,-0.73,2630.28,2.63,20
296,Entry long,2026-07-16 10:04,sl1|ver=0.1.0|variant=baseline|cfg=ema9_atr14_buf0.1_chase1_win3_tgt1.5_hold20_t935-1500_ent2_loss2_dd2_dirboth_risk100|setup_id=ir:0.1.0:NASDAQ:MU:1:1784210460000:long|bars_to_confirm=3|signal_close=872.69|trigger=872.45|stop=864.45|target_r=1.5|risk_ps=8.24|atr=5.217531|vwap_dist_atr=0.741125|tick=0.01,872.53,12,10470.36,-46.08,-0.44,0,88.44,0.84,-76.8,-0.73,2630.28,2.63,20
297,Exit long,2026-07-17 09:53,sl1|exit_reason=target,834.16,12,9870.36,139.56,1.41,0,139.56,1.41,-32.28,-0.33,2769.84,2.77,3
